lng,lat,viliage,ELEMID,date,level,vnum,inum
109.210564,34.369535,西大街社�?6100015945,20211222,1,2,0,
109.216354,34.369279,东大街社�?6100003860,20211222,1,2,0,
108.968864,34.369224,老洼滩社�?6100016375,20211222,1,3,0,
109.175377,34.368449,斜口社区,6100016104,20211222,1,2,0
109.224521,34.36787,华清社区,6100003832,20211222,1,2,0
108.953168,34.367838,吕小寨社�?6100016376,20211222,1,3,0,
109.170153,34.366655,谭家新家园社�?6100235010,20211222,1,3,0,
109.172523,34.366442,斜口骊山新家园社�?6100016027,20211222,1,2,0,
108.870725,34.365448,西安现代农业社区,#N/A,20211222,1,3,0
109.373118,34.365113,穆寨社区,6100016037,20211222,1,2,0
108.931806,34.363402,南党社区,6100016337,20211222,1,3,0
109.202258,34.363105,疗区社区,6100016031,20211222,1,2,0
108.928448,34.3611171,经开�?#N/A,20211222,1,3,0,
108.975478,34.360672,徐家湾社�?6100016336,20211222,1,3,0,
108.980732,34.355902,庙张姚社�?6100016437,20211222,1,3,0,
108.957421,34.355811,河址西社�?6100016334,20211222,1,3,0,
109.001059,34.355623,袁雒社区,6100016326,20211222,1,3,0
108.980399,34.355115,联合社区,6100016355,20211222,1,3,0
108.943725,34.354604,蔡家社区,6100016331,20211222,1,3,0
108.952531,34.353822,张千户社�?6100016324,20211222,1,3,0,
108.993702,34.353734,红光社区,6100003978,20211222,1,3,0
108.963989,34.353356,西航社区,6100016325,20211222,1,3,0
108.952619,34.35194,薛家寨社�?6100016288,20211222,1,3,0,
108.969714,34.350528,五龙汤社�?6100016286,20211222,1,3,0,
108.926084,34.349557,文景社区,6100016395,20211222,1,3,0
108.924564,34.349402,文景西区社区,6100016250,20211222,1,3,0
108.938662,34.34937,杨家社区,6100016287,20211222,1,3,0
109.323278,34.349291,仁宗社区,6100016197,20211222,1,2,0
108.922398,34.348678,青东社区,6100016285,20211222,1,3,0
108.933488,34.348015,全家社区,6100234960,20211222,1,3,0
108.934373,34.347698,北李社区,6100016317,20211222,1,3,0
108.998856,34.347642,上庄村委�?#N/A,20211222,1,2,0,
108.920318,34.346744,青西社区,6100016222,20211222,1,3,0
108.962286,34.345677,红旗社区,6100016436,20211222,2,3,0
108.954844,34.345597,文景东区社区,6100016254,20211222,1,3,0
108.936572,34.34521,白桦林居社区,6100016224,20211222,1,3,0
108.997472,34.344126,东方红社�?6101026399,20211222,1,3,0,
108.961509,34.344009,红色社区,6100016434,20211222,1,3,0
109.030914,34.342332,宋围社区,6100016596,20211222,1,2,0
108.934883,34.342057,盐东社区,6100016246,20211222,1,3,0
108.934883,34.342057,翁家庄社�?#N/A,20211222,1,3,0,
108.961784,34.341964,张家堡社�?6100016433,20211222,1,3,0,
108.966124,34.341654,谭家社区,6100016310,20211222,1,3,0
108.965874,34.34127,天和新府社区,6100016432,20211222,1,3,0
108.922489,34.340671,朱宏堡社�?6100016407,20211222,1,3,0,
108.957121,34.339925,EE康城社区,#N/A,20211222,1,3,0
108.932474,34.339858,盐西社区,6100016431,20211222,1,3,0
108.9647,34.339562,渭滨街社�?6100016221,20211222,1,3,0,
108.927225,34.33931,御湖社区,6100016267,20211222,1,3,0
109.41716,34.338527,小金社区,6100016177,20211222,1,2,0
108.823451,34.337437,芊域阳光社区,6100016259,20211222,1,2,0
109.057679,34.337325,瑾程酒店,#N/A,20211222,1,2,0
108.974303,34.337192,三家庄社�?6100016204,20211222,1,3,0,
109.059715,34.336422,香胡湾社�?6100016449,20211222,1,2,0,
108.929448,34.335393,三九社区,6100016406,20211222,1,3,0
109.052781,34.3353,黄邓社区,6100016454,20211222,1,2,0
108.944107,34.334905,南李社区,6100016314,20211222,1,3,0
108.982691,34.333838,帽珥冢社�?#N/A,20211222,1,3,0,
108.965704,34.333661,阳光十里社区,6100016311,20211222,1,3,0
108.963581,34.332976,高山流水社区,6100016295,20211222,1,3,0
109.005691,34.331394,浐灞新天地赵村社�?6100016359,20211222,1,3,0,
108.96883,34.331276,孙家湾社�?6100016353,20211222,1,3,0,
108.927958,34.329199,刘家社区,6100016391,20211222,1,3,0
108.925781,34.329193,郭家社区,6100016405,20211222,1,3,0
108.839962,34.32866,和兴园社�?6100016347,20211222,1,2,0,
108.962948,34.328081,兴盛园社�?6100016321,20211222,1,3,0,
108.941942,34.327853,海荣豪佳社区,6100016394,20211222,1,3,0
108.925689,34.326395,贾村社区,#N/A,20211222,1,3,0
108.842165,34.326343,六村堡社�?6100016344,20211222,1,2,0,
108.932341,34.326329,北康社区,6100016227,20211222,1,3,0
108.944076,34.326208,尤家社区,6100016330,20211222,1,3,0
108.955418,34.325579,兴隆园社�?6100016231,20211222,1,3,0,
108.969273,34.325103,百花园社�?6100016282,20211222,1,3,0,
108.966508,34.324953,西十里铺社区,6100004017,20211222,1,3,0
108.974014,34.324611,百花社区,6100016209,20211222,1,3,0
108.932758,34.324377,王前社区,6100016226,20211222,1,3,0
108.965632,34.323815,香克林社�?6100016268,20211222,1,3,0,
109.076179,34.32363,核锻社区,6100016566,20211222,1,2,0
109.131447,34.322955,朝阳社区,6100004251,20211222,1,2,0
108.997352,34.321469,泘沱社区,#N/A,20211222,1,3,0
109.101401,34.321108,建材社区,6100016579,20211222,1,2,0
108.967204,34.321071,曹家庙社�?6100016386,20211222,1,3,0,
108.964295,34.318836,凤鸣华府社区,6100016281,20211222,2,3,0
108.986372,34.317379,珠江新城社区,6100016216,20211222,1,3,0
108.844187,34.317377,石化社区,6100016419,20211222,1,2,0
108.927409,34.317061,海红社区,6100016235,20211222,1,3,0
108.990234,34.316899,杨家庄社�?6100016214,20211222,1,3,0,
108.952106,34.316772,纸坊南村社区,6100003944,20211222,1,2,0
108.820453,34.316387,启航新苑柏梁社区,#N/A,20211222,1,2,0
109.037252,34.31565,浐灞半岛社区,6100016319,20211222,1,3,0
108.967778,34.315477,西铁社区,6100015986,20211222,1,3,0
108.962918,34.313901,雅荷社区,6100016201,20211222,1,3,0
108.964871,34.313585,君逸社�?6100016257,20211222,1,3,0,
109.081423,34.313129,灞桥街社�?6100016559,20211222,1,2,0,
109.005055,34.313085,广安社区,6100016265,20211222,1,3,0
108.930817,34.313056,董家社区,6100016390,20211222,1,3,0
108.970522,34.313005,先锋社区,6100004912,20211222,1,3,0
108.996987,34.312958,浐灞生态区,#N/A,20211222,1,3,0
108.961219,34.31168,皇家园林社区,6100016215,20211222,1,3,0
108.936452,34.311048,佳家社区,6100016203,20211222,1,3,0
108.990386,34.309659,欣心家园社区,6100016264,20211222,1,3,0
109.009729,34.309393,新广路社�?6100016266,20211222,1,3,0,
108.993638,34.308292,辛家庙社�?6100016213,20211222,1,3,0,
108.963653,34.307858,锦园新世纪社�?#N/A,20211222,1,3,0,
108.941721,34.307407,萧家名京九合院社�?6100016242,20211222,1,3,0,
108.955277,34.30735,明园社区,6100016328,20211222,1,3,0
109.019116,34.307228,恒大名都社区,#N/A,20211222,1,3,0
108.990854,34.307152,西安重型研究所社区,#N/A,20211222,1,3,0
108.995139,34.306746,陕重社区,#N/A,20211222,1,3,0
108.936224,34.306578,延长石油社区,6100016256,20211222,1,3,0
108.928814,34.305873,范北社区,6100016284,20211222,1,3,0
108.945791,34.305585,民悦社区,6100016206,20211222,1,3,0
108.997806,34.304717,刘北社区,6100016212,20211222,1,3,0
109.127058,34.304042,航天四院社区,6100016450,20211222,1,2,0
108.994717,34.303762,西煤机社�?#N/A,20211222,1,3,0,
109.012638,34.302954,罗马花园社区,#N/A,20211222,1,2,0
108.927638,34.302951,范南社区,6100016389,20211222,1,3,0
109.060113,34.302303,灞桥火车站社�?#N/A,20211222,1,2,0,
108.991696,34.301739,工业学校社区,6100016356,20211222,1,3,0
108.999627,34.301733,刘南社区,#N/A,20211222,1,3,0
108.816123,34.300971,启航社区,#N/A,20211222,1,2,0
108.953186,34.300739,炕底寨社�?6100016225,20211222,1,3,0,
109.028138,34.300606,火箭军社区（原二炮社区）,#N/A,20211222,1,2,0
109.02924,34.300568,李家堡社�?6100016499,20211222,1,2,0,
108.939517,34.300368,四医大社�?6100003815,20211222,1,3,0,
108.944103,34.299805,舍下省社�?6100016207,20211222,1,3,0,
108.928539,34.299781,朱宏路社�?6100016396,20211222,2,3,0,
108.981385,34.299719,华远君城社区,6100016237,20211222,1,3,0
108.949195,34.299584,纬二十九街社�?6100016208,20211222,1,3,0,
108.943186,34.299501,方新社区,6100016401,20211222,1,3,0
108.937723,34.299204,枣园安居社区,6100016240,20211222,1,3,0
109.025548,34.298697,华清园社�?6100016457,20211222,1,2,0,
108.829679,34.298576,华润二十四城社区,6100235007,20211222,1,2,0
108.94748,34.298371,二府庄社�?6100004824,20211222,1,3,0,
109.028873,34.298305,蒋家湾社�?6100016444,20211222,1,2,0,
108.984024,34.29824,东前进社�?6100016305,20211222,1,3,0,
108.923938,34.297769,马滹沱社�?#N/A,20211222,1,3,0,
108.996468,34.297291,东元路物流社�?#N/A,20211222,1,3,0,
108.977111,34.297212,太华路社�?6100016313,20211222,1,3,0,
108.936561,34.296923,青门新区社区,6100016385,20211222,1,3,0
108.948728,34.296298,二府庄龙首塬社区,6100016205,20211222,1,3,0
108.835359,34.295326,火车站社�?6100016016,20211222,1,2,0,
108.900962,34.295128,西马寨社�?6100243130,20211222,1,3,0,
108.900962,34.295128,东叶寨社�?#N/A,20211222,1,3,0,
108.955213,34.294873,明宫社区,6100003821,20211222,1,3,0
108.936413,34.294805,枣园南岭社区,#N/A,20211222,1,3,0
108.895308,34.294554,李上壕社�?6100016283,20211222,1,3,0,
109.001609,34.294461,秦孟街社�?6100016451,20211222,1,2,0,
108.950081,34.294172,北张家庄社区,#N/A,20211222,1,3,0
108.987526,34.294104,生产村社�?6100003753,20211222,1,3,0,
108.915133,34.294066,大白杨西社区,6100016261,20211222,1,3,0
109.113303,34.293805,庆华社区,6100016585,20211222,1,2,0
108.986922,34.293609,东元西路社区,6100003754,20211222,1,3,0
109.041781,34.293111,郭渠社区,6100016496,20211222,1,2,0
109.04176,34.293104,南牛寺社�?6100016501,20211222,1,2,0,
108.914914,34.293088,大白杨东社区,6100016236,20211222,1,3,0
108.916232,34.292962,李下壕社�?6100016303,20211222,1,3,0,
108.972606,34.292672,银河坊社�?6100003820,20211222,1,3,0,
108.988213,34.29244,八府庄社�?6100003819,20211222,1,3,0,
108.913517,34.292326,白家口社�?6100003952,20211222,1,2,0,
108.949899,34.292227,宫园壹号社区,6100003959,20211222,1,2,0
108.979313,34.292067,含元殿社�?6100003749,20211222,1,3,0,
108.973697,34.291842,太华南路社区,6100003744,20211222,1,3,0
108.901911,34.291269,小白杨社�?6100016260,20211222,1,3,0,
108.939177,34.291202,安远社区,6100003957,20211222,1,2,0
108.942124,34.291197,龙首原社�?6100003945,20211222,1,2,0,
108.97971,34.291182,八府庄园社区,6100003761,20211222,1,3,0
109.075179,34.290852,柴马社区,6100016530,20211222,1,2,0
108.994443,34.290595,石家街社�?6100003751,20211222,1,3,0,
108.940657,34.290206,青门社区,6100003939,20211222,1,2,0
108.940439,34.290188,龙首西北社区,#N/A,20211222,1,2,0
109.050643,34.290072,电厂社区,6100016511,20211222,1,2,0
108.950996,34.289867,龙首东北社区,6100004057,20211222,1,2,0
108.954371,34.289523,铁路东村社区,6100003750,20211222,1,3,0
109.117475,34.289275,新村社区,#N/A,20211222,1,2,0
109.117475,34.289275,洪庆新村社区,#N/A,20211222,1,2,0
108.94905,34.288993,龙首东南社区,#N/A,20211222,1,2,0
108.824948,34.288929,西户路社�?6100016370,20211222,1,2,0,
108.824948,34.288929,建章路社�?6100016379,20211222,1,2,0,
108.8884,34.288574,东张社区,6100234952,20211222,1,3,0
108.807488,34.288402,东杨旗寨�?#N/A,20211222,1,2,0,
108.974901,34.287917,航空二路社区,6100017049,20211222,1,2,0
108.974869,34.287897,东童村社�?6100003752,20211222,1,3,0,
108.974869,34.287897,南郭上村社区,6101026389,20211222,1,3,0
108.974869,34.287897,丹凤门社�?6100003842,20211222,1,3,0,
108.93187,34.287646,红西村社�?6100003942,20211222,1,2,0,
108.975907,34.28742,陕棉十一厂社�?6100003758,20211222,1,3,0,
108.870046,34.287258,汉城北路社区,6100016400,20211222,1,2,0
109.02442,34.287217,十里铺社�?6100016587,20211222,1,2,0,
108.837906,34.287201,保利金香槟小�?#N/A,20211222,1,2,0,
108.88596,34.286755,白家口兴苑社�?6100003992,20211222,1,2,0,
109.032247,34.286719,长十路社�?6100016591,20211222,1,2,0,
108.885368,34.286526,大兴西路社区,6100016249,20211222,1,2,0
108.983801,34.286517,丰园社区,#N/A,20211222,1,2,0
108.940847,34.286302,龙首西南社区,6100004058,20211222,1,2,0
108.948378,34.28623,北稍门东社区,6100003763,20211222,1,2,0
108.951259,34.286204,联志社区,6100016354,20211222,1,3,0
108.983641,34.286128,含元西路社区,6100003757,20211222,1,3,0
108.90747,34.285871,大兴东路社区,6100003956,20211222,1,2,0
109.012991,34.285648,万寿社区,6100003771,20211222,1,3,0
108.875718,34.28545,进丰社区,6100003968,20211222,1,2,0
109.014103,34.285157,陕汽社区,6100003785,20211222,1,3,0
108.933735,34.284978,红庙坡村社区,6100004029,20211222,1,2,0
108.933735,34.284978,纸坊村社�?6100003943,20211222,1,2,0,
108.989103,34.28477,纱厂东街社区,6100003759,20211222,1,3,0
108.956266,34.284474,建强社区,6100003747,20211222,1,3,0
109.046455,34.284313,御锦城社�?#N/A,20211222,1,2,0,
108.930875,34.284251,星火社区,6100003940,20211222,1,2,0
108.867256,34.283998,三民社区,6100003982,20211222,1,2,0
108.934828,34.283739,工农新村社区,6100003953,20211222,1,2,0
108.986501,34.283439,笃臣巷社�?6100003743,20211222,1,3,0,
108.950763,34.283322,航建社区,6100003755,20211222,1,3,0
108.986399,34.283311,含元东路社区,6100003760,20211222,1,3,0
108.996197,34.283251,金花社区,6100003847,20211222,1,3,0
109.005819,34.282909,胡一社区,6100003782,20211222,1,3,0
108.798188,34.282752,西杨旗寨�?#N/A,20211222,1,2,0,
108.845578,34.282445,阿房四路社区,6100016318,20211222,1,2,0
109.074801,34.282353,新市社区,6100016589,20211222,1,2,0
108.962275,34.282273,栖凤社区,#N/A,20211222,1,3,0
108.952637,34.282128,向阳社区,6100003786,20211222,1,3,0
108.925316,34.281701,送变电社�?6100003941,20211222,1,2,0,
108.951475,34.281546,向荣社区,6100003748,20211222,2,3,0
108.834861,34.281376,武警路社�?6100016399,20211222,1,2,0,
108.891058,34.281044,沣惠北路社区,6100004024,20211222,1,2,0
108.941973,34.280794,北稍门西社区,6100003946,20211222,1,2,0
109.002634,34.280666,骏景社区,6100003745,20211222,1,3,0
108.995163,34.280656,陕建机施社区,6100003818,20211222,1,3,0
108.911828,34.280298,丰禾村社�?6100003950,20211222,1,2,0,
109.006959,34.280192,南张家庄社区,#N/A,20211222,1,3,0
109.057163,34.279971,唐都社区,6100016512,20211222,1,2,0
108.983365,34.279766,三府湾社�?6100003784,20211222,1,3,0,
108.920694,34.27969,丰禾社区,6100003949,20211222,1,2,0
